n,h,energy,transient,c,seed_J,seed_x,not_converged,c1,c2,clarge
800,5.684615384615384,0.00336982846653475,39.0,2.0,47765.5,53031.0,0.0,0.0,1.0,0.0
800,5.938461538461538,-0.00663213379868397,41.0,2.0,39939.5,53182.5,0.0,0.0,1.0,0.0
800,6.192307692307692,0.01178011955716369,43.0,2.0,43782.5,49943.5,0.0,0.0,1.0,0.0
800,6.4461538461538455,-0.0018578910557613226,42.0,2.0,55146.0,50103.5,0.0,0.0,1.0,0.0
800,6.699999999999999,0.011206242929136202,41.0,2.0,40323.0,45272.0,0.0,0.0,1.0,0.0
800,6.953846153846153,0.013534193013674905,41.0,2.0,44293.5,50994.5,0.0,0.0,1.0,0.0
800,7.207692307692307,-0.015687190531831943,43.0,2.0,47227.5,48914.0,0.0,0.0,1.0,0.0
800,7.461538461538461,-0.000693072148573811,41.0,2.0,47216.5,53829.0,0.0,0.0,1.0,0.0
800,7.715384615384615,-0.028008920216454472,43.0,2.0,49109.5,43942.5,0.0,0.0,1.0,0.0
800,7.9692307692307685,0.005265419486580174,41.0,2.0,48919.5,48468.0,0.0,0.0,1.0,0.0
800,8.223076923076922,-0.014884867963300519,41.0,2.0,48551.5,54472.0,0.0,0.0,1.0,0.0
800,8.476923076923077,-0.00044910054837029255,41.0,2.0,61301.0,49173.0,0.0,0.0,1.0,0.0
800,8.73076923076923,-0.010621011836321824,41.0,2.0,53277.0,48459.0,0.0,0.0,1.0,0.0
800,8.984615384615383,0.0002478263710783518,39.0,2.0,53111.0,50253.0,0.0,0.0,1.0,0.0
800,9.238461538461538,-0.015224019055708598,43.0,2.0,50169.0,43661.0,0.0,0.0,1.0,0.0
800,9.492307692307692,0.009991028582281661,41.0,2.0,50912.5,51662.5,0.0,0.0,1.0,0.0
800,9.746153846153845,-0.0274592064165316,40.0,2.0,54503.5,56791.0,0.0,0.0,1.0,0.0
800,10.0,-0.015258014673400617,41.0,2.0,51000.5,55265.5,0.0,0.0,1.0,0.0
1000,0.02,-0.19909592842318705,1586.5,1.0,48253.5,51823.5,0.0,1.0,0.0,0.0
1000,0.04,-0.6331825443310477,2669.5,1.0,51197.0,49692.5,0.0,1.0,0.0,0.0
1000,0.08,-0.7079053512209439,1084.0,1.0,48856.5,49935.0,0.0,1.0,0.0,0.0
